CSFFCardDetailTooltip.BlueprintResultWeight,,蓝图结果重量
CSFFCardDetailTooltip.EquippedReduction,,装备减重
CSFFCardDetailTooltip.InventoryWeight,,内容物重量
CSFFCardDetailTooltip.Capacity,,容量
CSFFCardDetailTooltip.WeightReduction,,减重
CSFFCardDetailTooltip.Reduction,,减成
CSFFCardDetailTooltip.Base,,基础值
CSFFCardDetailTooltip.Spoilage,,变质
CSFFCardDetailTooltip.Usage,,用量
CSFFCardDetailTooltip.Fuel,,燃料
CSFFCardDetailTooltip.Progress,,进度
CSFFCardDetailTooltip.Cooking,,烹饪
CSFFCardDetailTooltip.Equipped,,已装备
CSFFCardDetailTooltip.Stat.Base,,基础值
CSFFCardDetailTooltip.Stat.ActionStaleness,,重复动作减益
CSFFCardDetailTooltip.Stat.Time,,时间
CSFFCardDetailTooltip.Action.Weight,,权重
CSFFCardDetailTooltip.Action.Base,,基础值
CSFFCardDetailTooltip.FormatWeight.Weight,,重量
CSFFCardDetailTooltip.est.,,剩余
CSFFCardDetailTooltip.Rate,,速率
CSFFCardDetailTooltip.Recipe,,菜谱
CSFFCardDetailTooltip.Producing,,产生
CSFFCardDetailTooltip.d,,天
CSFFCardDetailTooltip.h,,时
CSFFCardDetailTooltip.LiquidQuantityChange,,液体量
CSFFCardDetailTooltip.StatModifier,,状态修正
CSFFCardDetailTooltip.TimeCostModifiers,,时间消耗影响
CSFFCardDetailTooltip.CardStateChange,,卡牌状态变更
CSFFCardDetailTooltip.Action.CardDrops,,卡牌掉落
CSFFCardDetailTooltip.TransformInto,,转变为
CSFFCardDetailTooltip.Destroy,,销毁
CSFFCardDetailTooltip.ModifyLiquid,Modify Liquid,修改液体
CSFFCardDetailTooltip.Action.LiquidDrops,,液体掉落
CSFFCardDetailTooltip.GivenCardStateChange,,发起方卡牌状态变更
CSFFCardDetailTooltip.Action.ExplorationDropsCount,Exploration Drops Count,探索掉落数量
CSFFCardDetailTooltip.Action.CurrentExploration,Current Exploration,当前探索
CSFFCardDetailTooltip.Action.ExplorationValue,Explored,探索值
CSFFCardDetailTooltip.statOnFullTitle,On Full,在为满时
CSFFCardDetailTooltip.statOnZeroTitle,On Zero,在为空时
CSFFCardDetailTooltip.WeaponStats,Weapon Stats,武器属性
CSFFCardDetailTooltip.WeaponStats.Clash,Clash,攻击力
CSFFCardDetailTooltip.WeaponStats.Damage,Damage,伤害
CSFFCardDetailTooltip.WeaponStats.Reach,Reach,距离
CSFFCardDetailTooltip.Encounter.PlayerActionPreviewTitle,Action Preview,行动预览
CSFFCardDetailTooltip.Encounter.ClashRatio,Clash Ratio,战力比
CSFFCardDetailTooltip.Encounter.PlayerSuccessChance,Player Success Chance,玩家行动成功率
CSFFCardDetailTooltip.Encounter.EnemySuccessChance,Enemy Success Chance,敌人行动成功率
CSFFCardDetailTooltip.Encounter.Damage,Damage,伤害力
CSFFCardDetailTooltip.Encounter.DamageStatSum,Stats Damage Bonus,状态伤害加成
CSFFCardDetailTooltip.Encounter.MeleeSizeDamage,Melee Damage Size Bonus,近战体型伤害加成
CSFFCardDetailTooltip.Encounter.DamageTypes,Damage Types,伤害类型
CSFFCardDetailTooltip.Encounter.ProbableHitBodyParts,Likely to Hit,可能命中
CSFFCardDetailTooltip.Encounter.DistanceChange,Distance Change,距离变化
CSFFCardDetailTooltip.Encounter.CurrentEnemyStats,Current Enemy Stats,当前敌人状态
CSFFCardDetailTooltip.BodyParts.Head,Head,头部
CSFFCardDetailTooltip.BodyParts.Torso,Torso,躯干
CSFFCardDetailTooltip.BodyParts.LArm,Left Arm,左臂
CSFFCardDetailTooltip.BodyParts.RArm,Right Arm,右臂
CSFFCardDetailTooltip.BodyParts.LLeg,Left Leg,左腿
CSFFCardDetailTooltip.BodyParts.RLeg,Right Leg,右腿
CSFFCardDetailTooltip.Encounter.PossibleWoundsHint,If I am hit by an enemy, I might get hurt: (on average),如果我被敌人击中，我可能会受伤:（平均情况下）
CSFFCardDetailTooltip.Encounter.ImpossibleWoundsHint,I am confident it can't hurt me! (on average),我自信它伤不到我！（平均情况下）
CSFFCardDetailTooltip.Encounter.ActionPreview,Action Preview,行动预览
CSFFCardDetailTooltip.Encounter.PlayerAction,Player Action,玩家行动
CSFFCardDetailTooltip.Encounter.PowerComparison,Power Comparison,战力比
CSFFCardDetailTooltip.Encounter.PlayerAttackHitRate,Player Attack Hit Rate,玩家攻击击中率
CSFFCardDetailTooltip.Encounter.EnemyAttackHitRate,Enemy Attack Hit Rate,敌人攻击命中率
CSFFCardDetailTooltip.Encounter.GuaranteedHit,Guaranteed Hit,必定命中
CSFFCardDetailTooltip.Encounter.DamagePower,Damage Power,伤害力
CSFFCardDetailTooltip.Encounter.StatusDamageBonus,Status Damage Bonus,状态伤害加成
CSFFCardDetailTooltip.Encounter.MeleeSizeDamageBonus,Melee Size Damage Bonus,近战体型伤害加成
CSFFCardDetailTooltip.Encounter.DamageType,Damage Type,伤害类型
CSFFCardDetailTooltip.Encounter.HitableParts,Hit-able Parts,可命中部位
CSFFCardDetailTooltip.Encounter.DistanceChange,Distance Change,距离变化
CSFFCardDetailTooltip.Encounter.CurrentEnemyStatus,Current Enemy Status,当前敌人状态
CSFFCardDetailTooltip.Encounter.Health,Health,血量
CSFFCardDetailTooltip.Encounter.Courage,Courage,勇气
CSFFCardDetailTooltip.Encounter.Stamina,Stamina,耐力
CSFFCardDetailTooltip.Encounter.MeleeSkill,Melee Skill,近战技能
CSFFCardDetailTooltip.Encounter.RangedSkill,Ranged Skill,远程技能
CSFFCardDetailTooltip.Encounter.Stealth,Stealth,潜行
CSFFCardDetailTooltip.Encounter.PowerDetailedData,Power Details,战力详细数据
CSFFCardDetailTooltip.Encounter.Unchanged,Unchanged,不变
CSFFCardDetailTooltip.Encounter.MoveAway,Move Away,远离
CSFFCardDetailTooltip.Encounter.MoveCloser,Move Closer,靠近
CSFFCardDetailTooltip.Encounter.TotalDefense,Total Defense,总防御
CSFFCardDetailTooltip.Encounter.LethalityProbabilityOfThisAttack,Fatality Probability,本次攻击致命概率
CSFFCardDetailTooltip.Encounter.BaseValue,Base Value,基础值
CSFFCardDetailTooltip.Encounter.SizeBonus,Size Bonus,体型加成
CSFFCardDetailTooltip.Encounter.WeaponLengthBonus,Weapon Length Bonus,武器长度加成
CSFFCardDetailTooltip.Encounter.StatusBonus,Status Bonus,状态加成
CSFFCardDetailTooltip.Encounter.StealthBonus,Stealth Bonus,潜行加成
CSFFCardDetailTooltip.Encounter.IneffectiveRangeMalus,Ineffective Range Malus,无效范围减成
CSFFCardDetailTooltip.Encounter.EnemySizeMalus,Enemy Size Malus,敌人体型减成
CSFFCardDetailTooltip.Encounter.InaccuracyMalus,Inaccuracy Malus,不精确度减成
CSFFCardDetailTooltip.Encounter.EnemyCoverMalus,Enemy Cover Malus,敌人掩体减成
CSFFCardDetailTooltip.Encounter.AttackDefenseRatio,Attack-Defense Ratio,攻防比
CSFFCardDetailTooltip.Encounter.PlayerHitRate,Player Hit Rate,玩家命中率
CSFFCardDetailTooltip.Encounter.BasicDamagePower,Basic Damage Power,基础伤害力
CSFFCardDetailTooltip.Encounter.NoChange,No Change,不变
CSFFCardDetailTooltip.Encounter.IncreaseDistance,Increase Distance,远离
CSFFCardDetailTooltip.Encounter.DecreaseDistance,Decrease Distance,靠近
CSFFCardDetailTooltip.Encounter.DamageThisRound,This Round's Damage,本轮伤害
CSFFCardDetailTooltip.Encounter.Minor,Minor,轻微
CSFFCardDetailTooltip.Encounter.Medium,Medium,中等
CSFFCardDetailTooltip.Encounter.Serious,Serious,沉重
CSFFCardDetailTooltip.Encounter.AttackDefenseRatio,Attack-Defense Ratio,攻防比
